SNAPDIR=zdjecia
PROCESSED=4365
SNAP=512,512
SIZE=1200,900 SNAP=512,512,65 COLOR=99,78,79
SIZE=900,1200 SNAP=512,512,66 COLOR=83,55,48
SIZE=900,1200 SNAP=512,512,67 COLOR=68,34,29
SIZE=1200,900 SNAP=512,512,68 COLOR=87,64,63
SIZE=1200,900 SNAP=512,512,69 COLOR=130,110,113
SIZE=1200,900 SNAP=512,512,70 COLOR=115,95,101
SIZE=1200,900 SNAP=512,512,71 COLOR=102,86,92
SIZE=1200,900 SNAP=512,512,72 COLOR=112,91,92
SIZE=1200,900 SNAP=512,512,73 COLOR=113,95,98
SIZE=1200,900 SNAP=512,512,74 COLOR=128,110,108
SIZE=1200,900 SNAP=512,512,75 COLOR=184,172,174
SIZE=1200,900 SNAP=512,512,76 COLOR=148,137,137
SIZE=1200,900 SNAP=512,512,77 COLOR=161,146,149
SIZE=1200,900 SNAP=512,512,78 COLOR=170,157,160
SIZE=1200,900 SNAP=512,512,79 COLOR=68,56,55
SIZE=1200,900 SNAP=512,512,80 COLOR=75,60,56
SIZE=1200,900 SNAP=512,512,81 COLOR=87,81,80
SIZE=1200,900 SNAP=512,512,82 COLOR=118,101,104
SIZE=1200,900 SNAP=512,512,83 COLOR=114,79,83
SIZE=1200,900 SNAP=512,512,84 COLOR=80,63,65
SIZE=1200,900 SNAP=512,512,85 COLOR=87,83,81
SIZE=1200,900 SNAP=512,512,86 COLOR=72,66,66
SIZE=1200,900 SNAP=512,512,87 COLOR=75,63,64
SIZE=1200,900 SNAP=512,512,88 COLOR=54,48,49
SIZE=1200,900 SNAP=512,512,89 COLOR=44,36,35
SIZE=1200,900 SNAP=512,512,90 COLOR=93,78,76
SIZE=1200,900 SNAP=512,512,91 COLOR=123,103,107
SIZE=1200,900 SNAP=512,512,92 COLOR=102,89,90
SIZE=1200,900 SNAP=512,512,93 COLOR=111,86,86
SIZE=1200,900 SNAP=512,512,94 COLOR=85,75,61
SIZE=2032,1524 SNAP=512,512,95 COLOR=121,112,112
SIZE=2032,1524 SNAP=512,512,96 COLOR=133,131,122
SIZE=2032,1524 SNAP=512,512,97 COLOR=74,66,65
