t=1.160000, y(t)=2.115246, y'(t)=1.601603, z(t)=1.787527, z'(t)=-0.020705, v(t)=0.109624, v'(t)=0.385924, X(t)=3.975589, Y(t)=3.684678, Z(t)=-1.851690
t=1.180000, y(t)=2.147159, y'(t)=1.589672, z(t)=1.787110, z'(t)=-0.021022, v(t)=0.116427, v'(t)=0.293603, X(t)=3.895847, Y(t)=3.690647, Z(t)=-1.947871
t=1.200000, y(t)=2.178831, y'(t)=1.577527, z(t)=1.786686, z'(t)=-0.021337, v(t)=0.121339, v'(t)=0.196961, X(t)=3.812801, Y(t)=3.694711, Z(t)=-2.041310
t=1.220000, y(t)=2.210259, y'(t)=1.565180, z(t)=1.786256, z'(t)=-0.021651, v(t)=0.124287, v'(t)=0.097558, X(t)=3.726636, Y(t)=3.696800, Z(t)=-2.131948
t=1.240000, y(t)=2.241437, y'(t)=1.552645, z(t)=1.785820, z'(t)=-0.021964, v(t)=0.125234, v'(t)=-0.003010, X(t)=3.637538, Y(t)=3.696874, Z(t)=-2.219733
t=1.260000, y(t)=2.272364, y'(t)=1.539936, z(t)=1.785378, z'(t)=-0.022276, v(t)=0.124170, v'(t)=-0.103134, X(t)=3.545693, Y(t)=3.694925, Z(t)=-2.304621
t=1.280000, y(t)=2.303034, y'(t)=1.527069, z(t)=1.784929, z'(t)=-0.022586, v(t)=0.121122, v'(t)=-0.201221, X(t)=3.451284, Y(t)=3.690980, Z(t)=-2.386576
t=1.300000, y(t)=2.333445, y'(t)=1.514060, z(t)=1.784474, z'(t)=-0.022895, v(t)=0.116145, v'(t)=-0.295713, X(t)=3.354494, Y(t)=3.685094, Z(t)=-2.465569
t=1.320000, y(t)=2.363595, y'(t)=1.500925, z(t)=1.784013, z'(t)=-0.023203, v(t)=0.109327, v'(t)=-0.385119, X(t)=3.255505, Y(t)=3.677354, Z(t)=-2.541579
t=1.340000, y(t)=2.393482, y'(t)=1.487683, z(t)=1.783546, z'(t)=-0.023509, v(t)=0.100784, v'(t)=-0.468032, X(t)=3.154494, Y(t)=3.667876, Z(t)=-2.614590
