t=3.300000, y(t)=1.081632, y'(t)=0.288878, z(t)=-3.338182, z'(t)=-0.454354, v(t)=-0.049594, v'(t)=1.459536, X(t)=0.270792, Y(t)=2.893577, Z(t)=0.508706
t=3.350000, y(t)=1.096049, y'(t)=0.287796, z(t)=-3.361125, z'(t)=-0.463533, v(t)=0.024746, v'(t)=1.483405, X(t)=0.301105, Y(t)=2.952151, Z(t)=0.585861
t=3.400000, y(t)=1.110412, y'(t)=0.286719, z(t)=-3.384554, z'(t)=-0.473819, v(t)=0.095662, v'(t)=1.324128, X(t)=0.330886, Y(t)=3.004742, Z(t)=0.667207
t=3.450000, y(t)=1.124721, y'(t)=0.285646, z(t)=-3.408525, z'(t)=-0.485227, v(t)=0.154421, v'(t)=1.002273, X(t)=0.358972, Y(t)=3.042705, Z(t)=0.750636
t=3.500000, y(t)=1.138977, y'(t)=0.284577, z(t)=-3.433096, z'(t)=-0.497776, v(t)=0.193833, v'(t)=0.558362, X(t)=0.384156, Y(t)=3.059095, Z(t)=0.833626
t=3.550000, y(t)=1.153179, y'(t)=0.283512, z(t)=-3.458322, z'(t)=-0.511484, v(t)=0.209133, v'(t)=0.047776, X(t)=0.405389, Y(t)=3.049508, Z(t)=0.913618
t=3.600000, y(t)=1.167328, y'(t)=0.282450, z(t)=-3.484264, z'(t)=-0.526372, v(t)=0.198553, v'(t)=-0.466155, X(t)=0.421949, Y(t)=3.012591, Z(t)=0.988432
t=3.650000, y(t)=1.181424, y'(t)=0.281393, z(t)=-3.510980, z'(t)=-0.542460, v(t)=0.163528, v'(t)=-0.920003, X(t)=0.433578, Y(t)=2.950145, Z(t)=1.056678
t=3.700000, y(t)=1.195467, y'(t)=0.280340, z(t)=-3.538530, z'(t)=-0.559771, v(t)=0.108502, v'(t)=-1.258073, X(t)=0.440530, Y(t)=2.866813, Z(t)=1.118077
t=3.750000, y(t)=1.209458, y'(t)=0.279291, z(t)=-3.566977, z'(t)=-0.578328, v(t)=0.040363, v'(t)=-1.439230, X(t)=0.443559, Y(t)=2.769406, Z(t)=1.173649
t=3.800000, y(t)=1.223396, y'(t)=0.278245, z(t)=-3.596384, z'(t)=-0.598154, v(t)=-0.032416, v'(t)=-1.441907, X(t)=0.443811, Y(t)=2.665937, Z(t)=1.225711
t=3.850000, y(t)=1.237283, y'(t)=0.277204, z(t)=-3.626814, z'(t)=-0.619273, v(t)=-0.100832, v'(t)=-1.266664, X(t)=0.442658, Y(t)=2.564522, Z(t)=1.277677
t=3.900000, y(t)=1.251117, y'(t)=0.276166, z(t)=-3.658333, z'(t)=-0.641706, v(t)=-0.156465, v'(t)=-0.936013, X(t)=0.441490, Y(t)=2.472266, Z(t)=1.333671
t=3.950000, y(t)=1.264899, y'(t)=0.275133, z(t)=-3.691007, z'(t)=-0.665476, v(t)=-0.192515, v'(t)=-0.491525, X(t)=0.441495, Y(t)=2.394308, Z(t)=1.397978
t=4.000000, y(t)=1.278630, y'(t)=0.274103, z(t)=-3.724904, z'(t)=-0.690604, v(t)=-0.204632, v'(t)=0.011388, X(t)=0.443465, Y(t)=2.333136, Z(t)=1.474414
t=4.050000, y(t)=1.292310, y'(t)=0.273077, z(t)=-3.760091, z'(t)=-0.717108, v(t)=-0.191441, v'(t)=0.510385, X(t)=0.447659, Y(t)=2.288274, Z(t)=1.565697
t=4.100000, y(t)=1.305938, y'(t)=0.272055, z(t)=-3.796638, z'(t)=-0.745005, v(t)=-0.154695, v'(t)=0.943917, X(t)=0.453742, Y(t)=2.256385, Z(t)=1.672903
