t=0.660000, y(t)=-2.911070, y'(t)=1.504660, z(t)=-1.068877, z'(t)=3.900332, v(t)=-1.256764, v'(t)=-1.811485, X(t)=-2.911070, Y(t)=-1.068877, Z(t)=-1.256764
t=0.670000, y(t)=-2.896045, y'(t)=1.500407, z(t)=-1.029953, z'(t)=3.884493, v(t)=-1.274865, v'(t)=-1.808770, X(t)=-2.896045, Y(t)=-1.029953, Z(t)=-1.274865
t=0.680000, y(t)=-2.881062, y'(t)=1.496159, z(t)=-0.991187, z'(t)=3.868678, v(t)=-1.292939, v'(t)=-1.806059, X(t)=-2.881062, Y(t)=-0.991187, Z(t)=-1.292939
t=0.690000, y(t)=-2.866121, y'(t)=1.491918, z(t)=-0.952580, z'(t)=3.852887, v(t)=-1.310986, v'(t)=-1.803352, X(t)=-2.866121, Y(t)=-0.952580, Z(t)=-1.310986
t=0.700000, y(t)=-2.851223, y'(t)=1.487684, z(t)=-0.914130, z'(t)=3.837119, v(t)=-1.329006, v'(t)=-1.800649, X(t)=-2.851223, Y(t)=-0.914130, Z(t)=-1.329006
t=0.710000, y(t)=-2.836368, y'(t)=1.483455, z(t)=-0.875837, z'(t)=3.821376, v(t)=-1.346999, v'(t)=-1.797950, X(t)=-2.836368, Y(t)=-0.875837, Z(t)=-1.346999
t=0.720000, y(t)=-2.821554, y'(t)=1.479233, z(t)=-0.837702, z'(t)=3.805655, v(t)=-1.364965, v'(t)=-1.795255, X(t)=-2.821554, Y(t)=-0.837702, Z(t)=-1.364965
t=0.730000, y(t)=-2.806783, y'(t)=1.475017, z(t)=-0.799724, z'(t)=3.789959, v(t)=-1.382904, v'(t)=-1.792564, X(t)=-2.806783, Y(t)=-0.799724, Z(t)=-1.382904
t=0.740000, y(t)=-2.792054, y'(t)=1.470808, z(t)=-0.761903, z'(t)=3.774285, v(t)=-1.400817, v'(t)=-1.789877, X(t)=-2.792054, Y(t)=-0.761903, Z(t)=-1.400817
t=0.750000, y(t)=-2.777367, y'(t)=1.466605, z(t)=-0.724238, z'(t)=3.758636, v(t)=-1.418702, v'(t)=-1.787195, X(t)=-2.777367, Y(t)=-0.724238, Z(t)=-1.418702
t=0.760000, y(t)=-2.762722, y'(t)=1.462408, z(t)=-0.686730, z'(t)=3.743009, v(t)=-1.436561, v'(t)=-1.784516, X(t)=-2.762722, Y(t)=-0.686730, Z(t)=-1.436561
t=0.770000, y(t)=-2.748119, y'(t)=1.458218, z(t)=-0.649378, z'(t)=3.727407, v(t)=-1.454392, v'(t)=-1.781841, X(t)=-2.748119, Y(t)=-0.649378, Z(t)=-1.454392
t=0.780000, y(t)=-2.733557, y'(t)=1.454034, z(t)=-0.612182, z'(t)=3.711827, v(t)=-1.472197, v'(t)=-1.779170, X(t)=-2.733557, Y(t)=-0.612182, Z(t)=-1.472197
t=0.790000, y(t)=-2.719038, y'(t)=1.449856, z(t)=-0.575141, z'(t)=3.696271, v(t)=-1.489976, v'(t)=-1.776504, X(t)=-2.719038, Y(t)=-0.575141, Z(t)=-1.489976
t=0.800000, y(t)=-2.704560, y'(t)=1.445684, z(t)=-0.538256, z'(t)=3.680738, v(t)=-1.507728, v'(t)=-1.773841, X(t)=-2.704560, Y(t)=-0.538256, Z(t)=-1.507728
t=0.810000, y(t)=-2.690124, y'(t)=1.441519, z(t)=-0.501526, z'(t)=3.665229, v(t)=-1.525453, v'(t)=-1.771182, X(t)=-2.690124, Y(t)=-0.501526, Z(t)=-1.525453
t=0.820000, y(t)=-2.675730, y'(t)=1.437359, z(t)=-0.464952, z'(t)=3.649743, v(t)=-1.543151, v'(t)=-1.768527, X(t)=-2.675730, Y(t)=-0.464952, Z(t)=-1.543151
t=0.830000, y(t)=-2.661377, y'(t)=1.433207, z(t)=-0.428531, z'(t)=3.634280, v(t)=-1.560823, v'(t)=-1.765877, X(t)=-2.661377, Y(t)=-0.428531, Z(t)=-1.560823
t=0.840000, y(t)=-2.647066, y'(t)=1.429060, z(t)=-0.392266, z'(t)=3.618840, v(t)=-1.578469, v'(t)=-1.763230, X(t)=-2.647066, Y(t)=-0.392266, Z(t)=-1.578469
t=0.850000, y(t)=-2.632796, y'(t)=1.424919, z(t)=-0.356155, z'(t)=3.603423, v(t)=-1.596088, v'(t)=-1.760587, X(t)=-2.632796, Y(t)=-0.356155, Z(t)=-1.596088
t=0.860000, y(t)=-2.618567, y'(t)=1.420785, z(t)=-0.320197, z'(t)=3.588030, v(t)=-1.613680, v'(t)=-1.757948, X(t)=-2.618567, Y(t)=-0.320197, Z(t)=-1.613680
t=0.870000, y(t)=-2.604380, y'(t)=1.416657, z(t)=-0.284394, z'(t)=3.572659, v(t)=-1.631247, v'(t)=-1.755313, X(t)=-2.604380, Y(t)=-0.284394, Z(t)=-1.631247
t=0.880000, y(t)=-2.590234, y'(t)=1.412535, z(t)=-0.248744, z'(t)=3.557312, v(t)=-1.648787, v'(t)=-1.752682, X(t)=-2.590234, Y(t)=-0.248744, Z(t)=-1.648787
t=0.890000, y(t)=-2.576129, y'(t)=1.408419, z(t)=-0.213248, z'(t)=3.541987, v(t)=-1.666300, v'(t)=-1.750055, X(t)=-2.576129, Y(t)=-0.213248, Z(t)=-1.666300
