t=2.250000, y(t)=1.760591, y'(t)=0.777205, z(t)=4.272940, z'(t)=0.110566, v(t)=0.000000, v'(t)=0.000000, X(t)=4.196210, Y(t)=-0.806123, Z(t)=0.000000
t=2.300000, y(t)=1.799446, y'(t)=0.776993, z(t)=4.278331, z'(t)=0.105132, v(t)=0.000000, v'(t)=0.000000, X(t)=4.166980, Y(t)=-0.969739, Z(t)=0.000000
t=2.350000, y(t)=1.838291, y'(t)=0.776781, z(t)=4.283458, z'(t)=0.100008, v(t)=0.000000, v'(t)=0.000000, X(t)=4.131122, Y(t)=-1.132185, Z(t)=0.000000
t=2.400000, y(t)=1.877124, y'(t)=0.776569, z(t)=4.288337, z'(t)=0.095175, v(t)=0.000000, v'(t)=0.000000, X(t)=4.088703, Y(t)=-1.293190, Z(t)=0.000000
t=2.450000, y(t)=1.915948, y'(t)=0.776358, z(t)=4.292980, z'(t)=0.090617, v(t)=0.000000, v'(t)=0.000000, X(t)=4.039799, Y(t)=-1.452483, Z(t)=0.000000
t=2.500000, y(t)=1.954760, y'(t)=0.776148, z(t)=4.297402, z'(t)=0.086316, v(t)=0.000000, v'(t)=0.000000, X(t)=3.984496, Y(t)=-1.609802, Z(t)=0.000000
t=2.550000, y(t)=1.993562, y'(t)=0.775938, z(t)=4.301616, z'(t)=0.082257, v(t)=0.000000, v'(t)=0.000000, X(t)=3.922891, Y(t)=-1.764887, Z(t)=0.000000
t=2.600000, y(t)=2.032354, y'(t)=0.775729, z(t)=4.305632, z'(t)=0.078425, v(t)=0.000000, v'(t)=0.000000, X(t)=3.855090, Y(t)=-1.917485, Z(t)=0.000000
t=2.650000, y(t)=2.071135, y'(t)=0.775520, z(t)=4.309462, z'(t)=0.074808, v(t)=0.000000, v'(t)=0.000000, X(t)=3.781208, Y(t)=-2.067348, Z(t)=0.000000
t=2.700000, y(t)=2.109906, y'(t)=0.775311, z(t)=4.313116, z'(t)=0.071393, v(t)=0.000000, v'(t)=0.000000, X(t)=3.701370, Y(t)=-2.214234, Z(t)=0.000000
t=2.750000, y(t)=2.148666, y'(t)=0.775103, z(t)=4.316604, z'(t)=0.068167, v(t)=0.000000, v'(t)=0.000000, X(t)=3.615709, Y(t)=-2.357907, Z(t)=0.000000
t=2.800000, y(t)=2.187416, y'(t)=0.774895, z(t)=4.319936, z'(t)=0.065120, v(t)=0.000000, v'(t)=0.000000, X(t)=3.524366, Y(t)=-2.498137, Z(t)=0.000000
t=2.850000, y(t)=2.226156, y'(t)=0.774688, z(t)=4.323119, z'(t)=0.062242, v(t)=0.000000, v'(t)=0.000000, X(t)=3.427493, Y(t)=-2.634701, Z(t)=0.000000
t=2.900000, y(t)=2.264885, y'(t)=0.774481, z(t)=4.326163, z'(t)=0.059522, v(t)=0.000000, v'(t)=0.000000, X(t)=3.325248, Y(t)=-2.767383, Z(t)=0.000000
t=2.950000, y(t)=2.303604, y'(t)=0.774274, z(t)=4.329074, z'(t)=0.056951, v(t)=0.000000, v'(t)=0.000000, X(t)=3.217797, Y(t)=-2.895974, Z(t)=0.000000
t=3.000000, y(t)=2.342313, y'(t)=0.774067, z(t)=4.331860, z'(t)=0.054521, v(t)=0.000000, v'(t)=0.000000, X(t)=3.105313, Y(t)=-3.020272, Z(t)=0.000000
t=3.050000, y(t)=2.381011, y'(t)=0.773861, z(t)=4.334528, z'(t)=0.052223, v(t)=0.000000, v'(t)=0.000000, X(t)=2.987977, Y(t)=-3.140084, Z(t)=0.000000
t=3.100000, y(t)=2.419699, y'(t)=0.773656, z(t)=4.337084, z'(t)=0.050051, v(t)=0.000000, v'(t)=0.000000, X(t)=2.865977, Y(t)=-3.255223, Z(t)=0.000000
t=3.150000, y(t)=2.458376, y'(t)=0.773450, z(t)=4.339535, z'(t)=0.047996, v(t)=0.000000, v'(t)=0.000000, X(t)=2.739508, Y(t)=-3.365510, Z(t)=0.000000
t=3.200000, y(t)=2.497044, y'(t)=0.773245, z(t)=4.341886, z'(t)=0.046052, v(t)=0.000000, v'(t)=0.000000, X(t)=2.608770, Y(t)=-3.470777, Z(t)=0.000000
t=3.250000, y(t)=2.535701, y'(t)=0.773040, z(t)=4.344142, z'(t)=0.044214, v(t)=0.000000, v'(t)=0.000000, X(t)=2.473969, Y(t)=-3.570861, Z(t)=0.000000
t=3.300000, y(t)=2.574348, y'(t)=0.772835, z(t)=4.346309, z'(t)=0.042474, v(t)=0.000000, v'(t)=0.000000, X(t)=2.335318, Y(t)=-3.665609, Z(t)=0.000000
t=3.350000, y(t)=2.612984, y'(t)=0.772631, z(t)=4.348391, z'(t)=0.040827, v(t)=0.000000, v'(t)=0.000000, X(t)=2.193033, Y(t)=-3.754878, Z(t)=0.000000
t=3.400000, y(t)=2.651611, y'(t)=0.772427, z(t)=4.350393, z'(t)=0.039268, v(t)=0.000000, v'(t)=0.000000, X(t)=2.047338, Y(t)=-3.838532, Z(t)=0.000000
t=3.450000, y(t)=2.690227, y'(t)=0.772223, z(t)=4.352319, z'(t)=0.037792, v(t)=0.000000, v'(t)=0.000000, X(t)=1.898459, Y(t)=-3.916444, Z(t)=0.000000
t=3.500000, y(t)=2.728833, y'(t)=0.772019, z(t)=4.354174, z'(t)=0.036394, v(t)=0.000000, v'(t)=0.000000, X(t)=1.746628, Y(t)=-3.988498, Z(t)=0.000000
t=3.550000, y(t)=2.767429, y'(t)=0.771815, z(t)=4.355960, z'(t)=0.035070, v(t)=0.000000, v'(t)=0.000000, X(t)=1.592078, Y(t)=-4.054587, Z(t)=0.000000
t=3.600000, y(t)=2.806015, y'(t)=0.771612, z(t)=4.357682, z'(t)=0.033816, v(t)=0.000000, v'(t)=0.000000, X(t)=1.435050, Y(t)=-4.114611, Z(t)=0.000000
t=3.650000, y(t)=2.844590, y'(t)=0.771409, z(t)=4.359343, z'(t)=0.032627, v(t)=0.000000, v'(t)=0.000000, X(t)=1.275785, Y(t)=-4.168482, Z(t)=0.000000
t=3.700000, y(t)=2.883155, y'(t)=0.771206, z(t)=4.360945, z'(t)=0.031501, v(t)=0.000000, v'(t)=0.000000, X(t)=1.114527, Y(t)=-4.216121, Z(t)=0.000000
t=3.750000, y(t)=2.921711, y'(t)=0.771004, z(t)=4.362494, z'(t)=0.030433, v(t)=0.000000, v'(t)=0.000000, X(t)=0.951523, Y(t)=-4.257459, Z(t)=0.000000
t=3.800000, y(t)=2.960256, y'(t)=0.770801, z(t)=4.363990, z'(t)=0.029420, v(t)=0.000000, v'(t)=0.000000, X(t)=0.787022, Y(t)=-4.292435, Z(t)=0.000000
t=3.850000, y(t)=2.998791, y'(t)=0.770599, z(t)=4.365436, z'(t)=0.028459, v(t)=0.000000, v'(t)=0.000000, X(t)=0.621276, Y(t)=-4.321001, Z(t)=0.000000
t=3.900000, y(t)=3.037316, y'(t)=0.770397, z(t)=4.366836, z'(t)=0.027548, v(t)=0.000000, v'(t)=0.000000, X(t)=0.454536, Y(t)=-4.343116, Z(t)=0.000000
t=3.950000, y(t)=3.075830, y'(t)=0.770195, z(t)=4.368192, z'(t)=0.026683, v(t)=0.000000, v'(t)=0.000000, X(t)=0.287055, Y(t)=-4.358750, Z(t)=0.000000
t=4.000000, y(t)=3.114335, y'(t)=0.769993, z(t)=4.369505, z'(t)=0.025861, v(t)=0.000000, v'(t)=0.000000, X(t)=0.119087, Y(t)=-4.367882, Z(t)=0.000000
t=4.050000, y(t)=3.152830, y'(t)=0.769791, z(t)=4.370779, z'(t)=0.025082, v(t)=0.000000, v'(t)=0.000000, X(t)=-0.049114, Y(t)=-4.370503, Z(t)=0.000000
t=4.100000, y(t)=3.191314, y'(t)=0.769590, z(t)=4.372014, z'(t)=0.024341, v(t)=0.000000, v'(t)=0.000000, X(t)=-0.217294, Y(t)=-4.366611, Z(t)=0.000000
t=4.150000, y(t)=3.229789, y'(t)=0.769389, z(t)=4.373214, z'(t)=0.023637, v(t)=0.000000, v'(t)=0.000000, X(t)=-0.385201, Y(t)=-4.356216, Z(t)=0.000000
