t=10.000000, y(t)=0.000000, y'(t)=0.000000, z(t)=0.000000, z'(t)=0.000000, v(t)=0.000000, v'(t)=0.000000, X(t)=0.000000, Y(t)=0.000000, Z(t)=0.000000
t=17.840000, y(t)=1.035130, y'(t)=-0.123412, z(t)=-0.363353, z'(t)=0.255005, v(t)=-1.841847, v'(t)=1.993449, X(t)=1.035130, Y(t)=-0.363353, Z(t)=-1.841847
t=17.860000, y(t)=1.032512, y'(t)=-0.138263, z(t)=-0.358550, z'(t)=0.225186, v(t)=-1.802228, v'(t)=1.967757, X(t)=1.032512, Y(t)=-0.358550, Z(t)=-1.802228
t=17.880000, y(t)=1.029605, y'(t)=-0.152317, z(t)=-0.354348, z'(t)=0.194987, v(t)=-1.763162, v'(t)=1.938247, X(t)=1.029605, Y(t)=-0.354348, Z(t)=-1.763162
t=17.900000, y(t)=1.026425, y'(t)=-0.165542, z(t)=-0.350753, z'(t)=0.164477, v(t)=-1.724723, v'(t)=1.904994, X(t)=1.026425, Y(t)=-0.350753, Z(t)=-1.724723
t=17.920000, y(t)=1.022989, y'(t)=-0.177910, z(t)=-0.347770, z'(t)=0.133724, v(t)=-1.686987, v'(t)=1.868079, X(t)=1.022989, Y(t)=-0.347770, Z(t)=-1.686987
t=17.940000, y(t)=1.019315, y'(t)=-0.189393, z(t)=-0.345405, z'(t)=0.102797, v(t)=-1.650024, v'(t)=1.827590, X(t)=1.019315, Y(t)=-0.345405, Z(t)=-1.650024
t=17.960000, y(t)=1.015420, y'(t)=-0.199968, z(t)=-0.343659, z'(t)=0.071766, v(t)=-1.613906, v'(t)=1.783622, X(t)=1.015420, Y(t)=-0.343659, Z(t)=-1.613906
t=17.980000, y(t)=1.011322, y'(t)=-0.209612, z(t)=-0.342534, z'(t)=0.040699, v(t)=-1.578702, v'(t)=1.736276, X(t)=1.011322, Y(t)=-0.342534, Z(t)=-1.578702
t=18.000000, y(t)=1.007041, y'(t)=-0.218304, z(t)=-0.342031, z'(t)=0.009667, v(t)=-1.544477, v'(t)=1.685661, X(t)=1.007041, Y(t)=-0.342031, Z(t)=-1.544477
t=18.020000, y(t)=1.002596, y'(t)=-0.226028, z(t)=-0.342147, z'(t)=-0.021263, v(t)=-1.511296, v'(t)=1.631889, X(t)=1.002596, Y(t)=-0.342147, Z(t)=-1.511296
t=18.040000, y(t)=0.998007, y'(t)=-0.232769, z(t)=-0.342880, z'(t)=-0.052023, v(t)=-1.479222, v'(t)=1.575082, X(t)=0.998007, Y(t)=-0.342880, Z(t)=-1.479222
t=18.060000, y(t)=0.993292, y'(t)=-0.238513, z(t)=-0.344226, z'(t)=-0.082544, v(t)=-1.448312, v'(t)=1.515363, X(t)=0.993292, Y(t)=-0.344226, Z(t)=-1.448312
t=18.080000, y(t)=0.988473, y'(t)=-0.243251, z(t)=-0.346180, z'(t)=-0.112761, v(t)=-1.418626, v'(t)=1.452864, X(t)=0.988473, Y(t)=-0.346180, Z(t)=-1.418626
t=18.100000, y(t)=0.983569, y'(t)=-0.246975, z(t)=-0.348734, z'(t)=-0.142607, v(t)=-1.390216, v'(t)=1.387721, X(t)=0.983569, Y(t)=-0.348734, Z(t)=-1.390216
t=18.120000, y(t)=0.978601, y'(t)=-0.249681, z(t)=-0.351881, z'(t)=-0.172018, v(t)=-1.363134, v'(t)=1.320073, X(t)=0.978601, Y(t)=-0.351881, Z(t)=-1.363134
t=18.140000, y(t)=0.973589, y'(t)=-0.251365, z(t)=-0.355612, z'(t)=-0.200930, v(t)=-1.337428, v'(t)=1.250065, X(t)=0.973589, Y(t)=-0.355612, Z(t)=-1.337428
t=18.160000, y(t)=0.968553, y'(t)=-0.252027, z(t)=-0.359915, z'(t)=-0.229281, v(t)=-1.313146, v'(t)=1.177847, X(t)=0.968553, Y(t)=-0.359915, Z(t)=-1.313146
t=18.180000, y(t)=0.963514, y'(t)=-0.251670, z(t)=-0.364779, z'(t)=-0.257011, v(t)=-1.290328, v'(t)=1.103570, X(t)=0.963514, Y(t)=-0.364779, Z(t)=-1.290328
t=18.200000, y(t)=0.958493, y'(t)=-0.250299, z(t)=-0.370191, z'(t)=-0.284061, v(t)=-1.269016, v'(t)=1.027392, X(t)=0.958493, Y(t)=-0.370191, Z(t)=-1.269016
t=18.220000, y(t)=0.953509, y'(t)=-0.247921, z(t)=-0.376136, z'(t)=-0.310373, v(t)=-1.249244, v'(t)=0.949471, X(t)=0.953509, Y(t)=-0.376136, Z(t)=-1.249244
t=18.240000, y(t)=0.948583, y'(t)=-0.244547, z(t)=-0.382600, z'(t)=-0.335893, v(t)=-1.231047, v'(t)=0.869970, X(t)=0.948583, Y(t)=-0.382600, Z(t)=-1.231047
t=18.260000, y(t)=0.943734, y'(t)=-0.240188, z(t)=-0.389566, z'(t)=-0.360566, v(t)=-1.214455, v'(t)=0.789053, X(t)=0.943734, Y(t)=-0.389566, Z(t)=-1.214455
t=18.280000, y(t)=0.938982, y'(t)=-0.234858, z(t)=-0.397017, z'(t)=-0.384341, v(t)=-1.199493, v'(t)=0.706887, X(t)=0.938982, Y(t)=-0.397017, Z(t)=-1.199493
t=18.300000, y(t)=0.934346, y'(t)=-0.228576, z(t)=-0.404934, z'(t)=-0.407170, v(t)=-1.186187, v'(t)=0.623641, X(t)=0.934346, Y(t)=-0.404934, Z(t)=-1.186187
t=18.320000, y(t)=0.929845, y'(t)=-0.221360, z(t)=-0.413297, z'(t)=-0.429005, v(t)=-1.174554, v'(t)=0.539485, X(t)=0.929845, Y(t)=-0.413297, Z(t)=-1.174554
t=18.340000, y(t)=0.925498, y'(t)=-0.213231, z(t)=-0.422087, z'(t)=-0.449802, v(t)=-1.164612, v'(t)=0.454590, X(t)=0.925498, Y(t)=-0.422087, Z(t)=-1.164612
t=18.360000, y(t)=0.921322, y'(t)=-0.204213, z(t)=-0.431282, z'(t)=-0.469519, v(t)=-1.156374, v'(t)=0.369129, X(t)=0.921322, Y(t)=-0.431282, Z(t)=-1.156374
t=18.380000, y(t)=0.917335, y'(t)=-0.194332, z(t)=-0.440860, z'(t)=-0.488116, v(t)=-1.149850, v'(t)=0.283273, X(t)=0.917335, Y(t)=-0.440860, Z(t)=-1.149850
t=18.400000, y(t)=0.913554, y'(t)=-0.183615, z(t)=-0.450799, z'(t)=-0.505558, v(t)=-1.145045, v'(t)=0.197196, X(t)=0.913554, Y(t)=-0.450799, Z(t)=-1.145045
t=18.420000, y(t)=0.909996, y'(t)=-0.172093, z(t)=-0.461075, z'(t)=-0.521810, v(t)=-1.141962, v'(t)=0.111070, X(t)=0.909996, Y(t)=-0.461075, Z(t)=-1.141962
t=18.440000, y(t)=0.906675, y'(t)=-0.159795, z(t)=-0.471663, z'(t)=-0.536840, v(t)=-1.140601, v'(t)=0.025066, X(t)=0.906675, Y(t)=-0.471663, Z(t)=-1.140601
t=18.460000, y(t)=0.903609, y'(t)=-0.146756, z(t)=-0.482540, z'(t)=-0.550620, v(t)=-1.140957, v'(t)=-0.060644, X(t)=0.903609, Y(t)=-0.482540, Z(t)=-1.140957
t=18.480000, y(t)=0.900810, y'(t)=-0.133011, z(t)=-0.493679, z'(t)=-0.563125, v(t)=-1.143024, v'(t)=-0.145892, X(t)=0.900810, Y(t)=-0.493679, Z(t)=-1.143024
t=18.500000, y(t)=0.898293, y'(t)=-0.118595, z(t)=-0.505056, z'(t)=-0.574332, v(t)=-1.146789, v'(t)=-0.230508, X(t)=0.898293, Y(t)=-0.505056, Z(t)=-1.146789
t=18.520000, y(t)=0.896070, y'(t)=-0.103548, z(t)=-0.516644, z'(t)=-0.584221, v(t)=-1.152239, v'(t)=-0.314328, X(t)=0.896070, Y(t)=-0.516644, Z(t)=-1.152239
t=18.540000, y(t)=0.894155, y'(t)=-0.087908, z(t)=-0.528416, z'(t)=-0.592776, v(t)=-1.159356, v'(t)=-0.397187, X(t)=0.894155, Y(t)=-0.528416, Z(t)=-1.159356
t=18.560000, y(t)=0.892558, y'(t)=-0.071715, z(t)=-0.540346, z'(t)=-0.599983, v(t)=-1.168119, v'(t)=-0.478923, X(t)=0.892558, Y(t)=-0.540346, Z(t)=-1.168119
t=18.580000, y(t)=0.891290, y'(t)=-0.055013, z(t)=-0.552406, z'(t)=-0.605832, v(t)=-1.178504, v'(t)=-0.559380, X(t)=0.891290, Y(t)=-0.552406, Z(t)=-1.178504
t=18.600000, y(t)=0.890360, y'(t)=-0.037844, z(t)=-0.564570, z'(t)=-0.610314, v(t)=-1.190484, v'(t)=-0.638401, X(t)=0.890360, Y(t)=-0.564570, Z(t)=-1.190484
t=18.620000, y(t)=0.889779, y'(t)=-0.020251, z(t)=-0.576810, z'(t)=-0.613426, v(t)=-1.204029, v'(t)=-0.715834, X(t)=0.889779, Y(t)=-0.576810, Z(t)=-1.204029
t=18.640000, y(t)=0.889553, y'(t)=-0.002280, z(t)=-0.589098, z'(t)=-0.615166, v(t)=-1.219106, v'(t)=-0.791533, X(t)=0.889553, Y(t)=-0.589098, Z(t)=-1.219106
t=18.660000, y(t)=0.889690, y'(t)=0.016025, z(t)=-0.601407, z'(t)=-0.615535, v(t)=-1.235678, v'(t)=-0.865352, X(t)=0.889690, Y(t)=-0.601407, Z(t)=-1.235678
t=18.680000, y(t)=0.890196, y'(t)=0.034616, z(t)=-0.613710, z'(t)=-0.614539, v(t)=-1.253707, v'(t)=-0.937153, X(t)=0.890196, Y(t)=-0.613710, Z(t)=-1.253707
t=18.700000, y(t)=0.891076, y'(t)=0.053447, z(t)=-0.625980, z'(t)=-0.612184, v(t)=-1.273150, v'(t)=-1.006801, X(t)=0.891076, Y(t)=-0.625980, Z(t)=-1.273150
t=18.720000, y(t)=0.892335, y'(t)=0.072471, z(t)=-0.638189, z'(t)=-0.608483, v(t)=-1.293964, v'(t)=-1.074165, X(t)=0.892335, Y(t)=-0.638189, Z(t)=-1.293964
t=18.740000, y(t)=0.893976, y'(t)=0.091641, z(t)=-0.650310, z'(t)=-0.603447, v(t)=-1.316101, v'(t)=-1.139120, X(t)=0.893976, Y(t)=-0.650310, Z(t)=-1.316101
t=18.760000, y(t)=0.896001, y'(t)=0.110909, z(t)=-0.662318, z'(t)=-0.597094, v(t)=-1.339512, v'(t)=-1.201547, X(t)=0.896001, Y(t)=-0.662318, Z(t)=-1.339512
t=18.780000, y(t)=0.898412, y'(t)=0.130228, z(t)=-0.674185, z'(t)=-0.589443, v(t)=-1.364145, v'(t)=-1.261330, X(t)=0.898412, Y(t)=-0.674185, Z(t)=-1.364145
t=18.800000, y(t)=0.901210, y'(t)=0.149549, z(t)=-0.685887, z'(t)=-0.580516, v(t)=-1.389946, v'(t)=-1.318363, X(t)=0.901210, Y(t)=-0.685887, Z(t)=-1.389946
t=18.820000, y(t)=0.904394, y'(t)=0.168826, z(t)=-0.697398, z'(t)=-0.570339, v(t)=-1.416860, v'(t)=-1.372541, X(t)=0.904394, Y(t)=-0.697398, Z(t)=-1.416860
t=18.840000, y(t)=0.907963, y'(t)=0.188012, z(t)=-0.708692, z'(t)=-0.558937, v(t)=-1.444828, v'(t)=-1.423769, X(t)=0.907963, Y(t)=-0.708692, Z(t)=-1.444828
t=18.860000, y(t)=0.911914, y'(t)=0.207060, z(t)=-0.719747, z'(t)=-0.546343, v(t)=-1.473791, v'(t)=-1.471957, X(t)=0.911914, Y(t)=-0.719747, Z(t)=-1.473791
t=18.880000, y(t)=0.916244, y'(t)=0.225924, z(t)=-0.730538, z'(t)=-0.532588, v(t)=-1.503686, v'(t)=-1.517019, X(t)=0.916244, Y(t)=-0.730538, Z(t)=-1.503686
t=18.900000, y(t)=0.920949, y'(t)=0.244558, z(t)=-0.741043, z'(t)=-0.517707, v(t)=-1.534450, v'(t)=-1.558880, X(t)=0.920949, Y(t)=-0.741043, Z(t)=-1.534450
t=18.920000, y(t)=0.926024, y'(t)=0.262918, z(t)=-0.751239, z'(t)=-0.501738, v(t)=-1.566019, v'(t)=-1.597468, X(t)=0.926024, Y(t)=-0.751239, Z(t)=-1.566019
t=18.940000, y(t)=0.931464, y'(t)=0.280960, z(t)=-0.761106, z'(t)=-0.484721, v(t)=-1.598327, v'(t)=-1.632720, X(t)=0.931464, Y(t)=-0.761106, Z(t)=-1.598327
t=18.960000, y(t)=0.937260, y'(t)=0.298641, z(t)=-0.770622, z'(t)=-0.466698, v(t)=-1.631305, v'(t)=-1.664579, X(t)=0.937260, Y(t)=-0.770622, Z(t)=-1.631305
t=18.980000, y(t)=0.943407, y'(t)=0.315918, z(t)=-0.779767, z'(t)=-0.447712, v(t)=-1.664887, v'(t)=-1.692994, X(t)=0.943407, Y(t)=-0.779767, Z(t)=-1.664887
t=19.000000, y(t)=0.949894, y'(t)=0.332752, z(t)=-0.788524, z'(t)=-0.427810, v(t)=-1.699002, v'(t)=-1.717924, X(t)=0.949894, Y(t)=-0.788524, Z(t)=-1.699002
t=19.020000, y(t)=0.956713, y'(t)=0.349103, z(t)=-0.796874, z'(t)=-0.407039, v(t)=-1.733580, v'(t)=-1.739331, X(t)=0.956713, Y(t)=-0.796874, Z(t)=-1.733580
t=19.040000, y(t)=0.963855, y'(t)=0.364933, z(t)=-0.804800, z'(t)=-0.385449, v(t)=-1.768551, v'(t)=-1.757189, X(t)=0.963855, Y(t)=-0.804800, Z(t)=-1.768551
t=19.060000, y(t)=0.971307, y'(t)=0.380205, z(t)=-0.812287, z'(t)=-0.363091, v(t)=-1.803844, v'(t)=-1.771474, X(t)=0.971307, Y(t)=-0.812287, Z(t)=-1.803844
t=19.080000, y(t)=0.979059, y'(t)=0.394884, z(t)=-0.819319, z'(t)=-0.340017, v(t)=-1.839386, v'(t)=-1.782174, X(t)=0.979059, Y(t)=-0.819319, Z(t)=-1.839386
t=19.100000, y(t)=0.987098, y'(t)=0.408935, z(t)=-0.825883, z'(t)=-0.316282, v(t)=-1.875107, v'(t)=-1.789281, X(t)=0.987098, Y(t)=-0.825883, Z(t)=-1.875107
t=19.120000, y(t)=0.995412, y'(t)=0.422329, z(t)=-0.831966, z'(t)=-0.291940, v(t)=-1.910934, v'(t)=-1.792795, X(t)=0.995412, Y(t)=-0.831966, Z(t)=-1.910934
t=19.140000, y(t)=1.003987, y'(t)=0.435033, z(t)=-0.837557, z'(t)=-0.267049, v(t)=-1.946795, v'(t)=-1.792723, X(t)=1.003987, Y(t)=-0.837557, Z(t)=-1.946795
t=19.160000, y(t)=1.012809, y'(t)=0.447021, z(t)=-0.842645, z'(t)=-0.241665, v(t)=-1.982619, v'(t)=-1.789081, X(t)=1.012809, Y(t)=-0.842645, Z(t)=-1.982619
t=19.180000, y(t)=1.021863, y'(t)=0.458264, z(t)=-0.847221, z'(t)=-0.215847, v(t)=-2.018334, v'(t)=-1.781889, X(t)=1.021863, Y(t)=-0.847221, Z(t)=-2.018334
t=19.200000, y(t)=1.031134, y'(t)=0.468740, z(t)=-0.851276, z'(t)=-0.189653, v(t)=-2.053871, v'(t)=-1.771176, X(t)=1.031134, Y(t)=-0.851276, Z(t)=-2.053871
t=19.220000, y(t)=1.040607, y'(t)=0.478425, z(t)=-0.854805, z'(t)=-0.163144, v(t)=-2.089158, v'(t)=-1.756977, X(t)=1.040607, Y(t)=-0.854805, Z(t)=-2.089158
t=19.240000, y(t)=1.050266, y'(t)=0.487298, z(t)=-0.857800, z'(t)=-0.136379, v(t)=-2.124127, v'(t)=-1.739336, X(t)=1.050266, Y(t)=-0.857800, Z(t)=-2.124127
t=19.260000, y(t)=1.060093, y'(t)=0.495341, z(t)=-0.860258, z'(t)=-0.109419, v(t)=-2.158709, v'(t)=-1.718299, X(t)=1.060093, Y(t)=-0.860258, Z(t)=-2.158709
t=19.280000, y(t)=1.070074, y'(t)=0.502538, z(t)=-0.862176, z'(t)=-0.082323, v(t)=-2.192837, v'(t)=-1.693924, X(t)=1.070074, Y(t)=-0.862176, Z(t)=-2.192837
t=19.300000, y(t)=1.080189, y'(t)=0.508875, z(t)=-0.863551, z'(t)=-0.055154, v(t)=-2.226444, v'(t)=-1.666272, X(t)=1.080189, Y(t)=-0.863551, Z(t)=-2.226444
t=19.320000, y(t)=1.090423, y'(t)=0.514339, z(t)=-0.864382, z'(t)=-0.027970, v(t)=-2.259466, v'(t)=-1.635410, X(t)=1.090423, Y(t)=-0.864382, Z(t)=-2.259466
t=19.340000, y(t)=1.100757, y'(t)=0.518920, z(t)=-0.864670, z'(t)=-0.000833, v(t)=-2.291840, v'(t)=-1.601414, X(t)=1.100757, Y(t)=-0.864670, Z(t)=-2.291840
t=19.360000, y(t)=1.111174, y'(t)=0.522611, z(t)=-0.864416, z'(t)=0.026197, v(t)=-2.323502, v'(t)=-1.564364, X(t)=1.111174, Y(t)=-0.864416, Z(t)=-2.323502
t=19.380000, y(t)=1.121655, y'(t)=0.525407, z(t)=-0.863623, z'(t)=0.053061, v(t)=-2.354394, v'(t)=-1.524345, X(t)=1.121655, Y(t)=-0.863623, Z(t)=-2.354394
t=19.400000, y(t)=1.132184, y'(t)=0.527303, z(t)=-0.862295, z'(t)=0.079701, v(t)=-2.384457, v'(t)=-1.481449, X(t)=1.132184, Y(t)=-0.862295, Z(t)=-2.384457
t=19.420000, y(t)=1.142741, y'(t)=0.528300, z(t)=-0.860437, z'(t)=0.106058, v(t)=-2.413634, v'(t)=-1.435774, X(t)=1.142741, Y(t)=-0.860437, Z(t)=-2.413634
t=19.440000, y(t)=1.153310, y'(t)=0.528398, z(t)=-0.858055, z'(t)=0.132074, v(t)=-2.441870, v'(t)=-1.387420, X(t)=1.153310, Y(t)=-0.858055, Z(t)=-2.441870
t=19.460000, y(t)=1.163871, y'(t)=0.527600, z(t)=-0.855157, z'(t)=0.157694, v(t)=-2.469114, v'(t)=-1.336496, X(t)=1.163871, Y(t)=-0.855157, Z(t)=-2.469114
t=19.480000, y(t)=1.174408, y'(t)=0.525912, z(t)=-0.851750, z'(t)=0.182862, v(t)=-2.495314, v'(t)=-1.283112, X(t)=1.174408, Y(t)=-0.851750, Z(t)=-2.495314
t=19.500000, y(t)=1.184902, y'(t)=0.523342, z(t)=-0.847846, z'(t)=0.207524, v(t)=-2.520422, v'(t)=-1.227386, X(t)=1.184902, Y(t)=-0.847846, Z(t)=-2.520422
t=19.520000, y(t)=1.195336, y'(t)=0.519899, z(t)=-0.843453, z'(t)=0.231628, v(t)=-2.544394, v'(t)=-1.169437, X(t)=1.195336, Y(t)=-0.843453, Z(t)=-2.544394
t=19.540000, y(t)=1.205692, y'(t)=0.515596, z(t)=-0.838585, z'(t)=0.255122, v(t)=-2.567186, v'(t)=-1.109390, X(t)=1.205692, Y(t)=-0.838585, Z(t)=-2.567186
t=19.560000, y(t)=1.215954, y'(t)=0.510446, z(t)=-0.833253, z'(t)=0.277957, v(t)=-2.588757, v'(t)=-1.047372, X(t)=1.215954, Y(t)=-0.833253, Z(t)=-2.588757
t=19.580000, y(t)=1.226104, y'(t)=0.504466, z(t)=-0.827471, z'(t)=0.300085, v(t)=-2.609069, v'(t)=-0.983516, X(t)=1.226104, Y(t)=-0.827471, Z(t)=-2.609069
t=19.600000, y(t)=1.236127, y'(t)=0.497672, z(t)=-0.821254, z'(t)=0.321459, v(t)=-2.628086, v'(t)=-0.917955, X(t)=1.236127, Y(t)=-0.821254, Z(t)=-2.628086
t=19.620000, y(t)=1.246006, y'(t)=0.490087, z(t)=-0.814618, z'(t)=0.342035, v(t)=-2.645776, v'(t)=-0.850827, X(t)=1.246006, Y(t)=-0.814618, Z(t)=-2.645776
t=19.640000, y(t)=1.255726, y'(t)=0.481730, z(t)=-0.807579, z'(t)=0.361772, v(t)=-2.662110, v'(t)=-0.782272, X(t)=1.255726, Y(t)=-0.807579, Z(t)=-2.662110
t=19.660000, y(t)=1.265270, y'(t)=0.472625, z(t)=-0.800153, z'(t)=0.380627, v(t)=-2.677059, v'(t)=-0.712433, X(t)=1.265270, Y(t)=-0.800153, Z(t)=-2.677059
t=19.680000, y(t)=1.274626, y'(t)=0.462799, z(t)=-0.792360, z'(t)=0.398564, v(t)=-2.690599, v'(t)=-0.641453, X(t)=1.274626, Y(t)=-0.792360, Z(t)=-2.690599
t=19.700000, y(t)=1.283778, y'(t)=0.452277, z(t)=-0.784217, z'(t)=0.415546, v(t)=-2.702710, v'(t)=-0.569479, X(t)=1.283778, Y(t)=-0.784217, Z(t)=-2.702710
t=19.720000, y(t)=1.292712, y'(t)=0.441089, z(t)=-0.775744, z'(t)=0.431539, v(t)=-2.713373, v'(t)=-0.496658, X(t)=1.292712, Y(t)=-0.775744, Z(t)=-2.713373
t=19.740000, y(t)=1.301417, y'(t)=0.429264, z(t)=-0.766962, z'(t)=0.446512, v(t)=-2.722572, v'(t)=-0.423138, X(t)=1.301417, Y(t)=-0.766962, Z(t)=-2.722572
t=19.760000, y(t)=1.309879, y'(t)=0.416833, z(t)=-0.757891, z'(t)=0.460436, v(t)=-2.730295, v'(t)=-0.349068, X(t)=1.309879, Y(t)=-0.757891, Z(t)=-2.730295
t=19.780000, y(t)=1.318086, y'(t)=0.403831, z(t)=-0.748552, z'(t)=0.473283, v(t)=-2.736532, v'(t)=-0.274599, X(t)=1.318086, Y(t)=-0.748552, Z(t)=-2.736532
t=19.800000, y(t)=1.326029, y'(t)=0.390291, z(t)=-0.738967, z'(t)=0.485030, v(t)=-2.741277, v'(t)=-0.199880, X(t)=1.326029, Y(t)=-0.738967, Z(t)=-2.741277
t=19.820000, y(t)=1.333695, y'(t)=0.376247, z(t)=-0.729158, z'(t)=0.495655, v(t)=-2.744526, v'(t)=-0.125062, X(t)=1.333695, Y(t)=-0.729158, Z(t)=-2.744526
t=19.840000, y(t)=1.341075, y'(t)=0.361737, z(t)=-0.719148, z'(t)=0.505139, v(t)=-2.746280, v'(t)=-0.050292, X(t)=1.341075, Y(t)=-0.719148, Z(t)=-2.746280
t=19.860000, y(t)=1.348161, y'(t)=0.346799, z(t)=-0.708960, z'(t)=0.513466, v(t)=-2.746539, v'(t)=0.024279, X(t)=1.348161, Y(t)=-0.708960, Z(t)=-2.746539
t=19.880000, y(t)=1.354945, y'(t)=0.331469, z(t)=-0.698617, z'(t)=0.520622, v(t)=-2.745311, v'(t)=0.098503, X(t)=1.354945, Y(t)=-0.698617, Z(t)=-2.745311
t=19.900000, y(t)=1.361418, y'(t)=0.315788, z(t)=-0.688143, z'(t)=0.526595, v(t)=-2.742603, v'(t)=0.172236, X(t)=1.361418, Y(t)=-0.688143, Z(t)=-2.742603
t=19.920000, y(t)=1.367574, y'(t)=0.299796, z(t)=-0.677562, z'(t)=0.531377, v(t)=-2.738426, v'(t)=0.245331, X(t)=1.367574, Y(t)=-0.677562, Z(t)=-2.738426
t=19.940000, y(t)=1.373408, y'(t)=0.283531, z(t)=-0.666896, z'(t)=0.534962, v(t)=-2.732795, v'(t)=0.317645, X(t)=1.373408, Y(t)=-0.666896, Z(t)=-2.732795
t=19.960000, y(t)=1.378914, y'(t)=0.267037, z(t)=-0.656171, z'(t)=0.537348, v(t)=-2.725726, v'(t)=0.389038, X(t)=1.378914, Y(t)=-0.656171, Z(t)=-2.725726
t=19.980000, y(t)=1.384088, y'(t)=0.250353, z(t)=-0.645410, z'(t)=0.538533, v(t)=-2.717240, v'(t)=0.459371, X(t)=1.384088, Y(t)=-0.645410, Z(t)=-2.717240
t=20.000000, y(t)=1.388927, y'(t)=0.233522, z(t)=-0.634638, z'(t)=0.538519, v(t)=-2.707359, v'(t)=0.528508, X(t)=1.388927, Y(t)=-0.634638, Z(t)=-2.707359
t=20.020000, y(t)=1.393428, y'(t)=0.216585, z(t)=-0.623877, z'(t)=0.537312, v(t)=-2.696109, v'(t)=0.596316, X(t)=1.393428, Y(t)=-0.623877, Z(t)=-2.696109
t=20.040000, y(t)=1.397590, y'(t)=0.199585, z(t)=-0.613153, z'(t)=0.534919, v(t)=-2.683516, v'(t)=0.662666, X(t)=1.397590, Y(t)=-0.613153, Z(t)=-2.683516
t=20.060000, y(t)=1.401411, y'(t)=0.182562, z(t)=-0.602489, z'(t)=0.531350, v(t)=-2.669613, v'(t)=0.727431, X(t)=1.401411, Y(t)=-0.602489, Z(t)=-2.669613
t=20.080000, y(t)=1.404893, y'(t)=0.165560, z(t)=-0.591907, z'(t)=0.526618, v(t)=-2.654430, v'(t)=0.790488, X(t)=1.404893, Y(t)=-0.591907, Z(t)=-2.654430
t=20.100000, y(t)=1.408034, y'(t)=0.148618, z(t)=-0.581431, z'(t)=0.520737, v(t)=-2.638005, v'(t)=0.851718, X(t)=1.408034, Y(t)=-0.581431, Z(t)=-2.638005
t=20.120000, y(t)=1.410838, y'(t)=0.131780, z(t)=-0.571085, z'(t)=0.513726, v(t)=-2.620375, v'(t)=0.911008, X(t)=1.410838, Y(t)=-0.571085, Z(t)=-2.620375
t=20.140000, y(t)=1.413306, y'(t)=0.115085, z(t)=-0.560890, z'(t)=0.505604, v(t)=-2.601579, v'(t)=0.968246, X(t)=1.413306, Y(t)=-0.560890, Z(t)=-2.601579
t=20.160000, y(t)=1.415443, y'(t)=0.098574, z(t)=-0.550868, z'(t)=0.496394, v(t)=-2.581659, v'(t)=1.023327, X(t)=1.415443, Y(t)=-0.550868, Z(t)=-2.581659
t=20.180000, y(t)=1.417251, y'(t)=0.082287, z(t)=-0.541041, z'(t)=0.486120, v(t)=-2.560661, v'(t)=1.076149, X(t)=1.417251, Y(t)=-0.541041, Z(t)=-2.560661
t=20.200000, y(t)=1.418736, y'(t)=0.066262, z(t)=-0.531430, z'(t)=0.474810, v(t)=-2.538629, v'(t)=1.126616, X(t)=1.418736, Y(t)=-0.531430, Z(t)=-2.538629
t=20.220000, y(t)=1.419903, y'(t)=0.050538, z(t)=-0.522056, z'(t)=0.462493, v(t)=-2.515612, v'(t)=1.174638, X(t)=1.419903, Y(t)=-0.522056, Z(t)=-2.515612
t=20.240000, y(t)=1.420760, y'(t)=0.035152, z(t)=-0.512937, z'(t)=0.449200, v(t)=-2.491660, v'(t)=1.220128, X(t)=1.420760, Y(t)=-0.512937, Z(t)=-2.491660
t=20.260000, y(t)=1.421312, y'(t)=0.020141, z(t)=-0.504094, z'(t)=0.434964, v(t)=-2.466824, v'(t)=1.263006, X(t)=1.421312, Y(t)=-0.504094, Z(t)=-2.466824
t=20.280000, y(t)=1.421568, y'(t)=0.005539, z(t)=-0.495544, z'(t)=0.419822, v(t)=-2.441158, v'(t)=1.303197, X(t)=1.421568, Y(t)=-0.495544, Z(t)=-2.441158
t=20.300000, y(t)=1.421536, y'(t)=-0.008619, z(t)=-0.487307, z'(t)=0.403809, v(t)=-2.414715, v'(t)=1.340631, X(t)=1.421536, Y(t)=-0.487307, Z(t)=-2.414715
t=20.320000, y(t)=1.421226, y'(t)=-0.022300, z(t)=-0.479398, z'(t)=0.386965, v(t)=-2.387551, v'(t)=1.375245, X(t)=1.421226, Y(t)=-0.479398, Z(t)=-2.387551
t=20.340000, y(t)=1.420648, y'(t)=-0.035473, z(t)=-0.471833, z'(t)=0.369331, v(t)=-2.359724, v'(t)=1.406982, X(t)=1.420648, Y(t)=-0.471833, Z(t)=-2.359724
t=20.360000, y(t)=1.419811, y'(t)=-0.048107, z(t)=-0.464629, z'(t)=0.350948, v(t)=-2.331292, v'(t)=1.435789, X(t)=1.419811, Y(t)=-0.464629, Z(t)=-2.331292
t=20.380000, y(t)=1.418727, y'(t)=-0.060174, z(t)=-0.457800, z'(t)=0.331861, v(t)=-2.302313, v'(t)=1.461620, X(t)=1.418727, Y(t)=-0.457800, Z(t)=-2.302313
t=20.400000, y(t)=1.417408, y'(t)=-0.071646, z(t)=-0.451359, z'(t)=0.312115, v(t)=-2.272847, v'(t)=1.484437, X(t)=1.417408, Y(t)=-0.451359, Z(t)=-2.272847
